"site","challenge","ident","conc","exclude","hematocrit","lc","plate11"
"LSTS","challenged","171",414.2,0,22.7,0,NA
"LSTS","challenged","172",341.9,0,27,0,NA
"LSTS","challenged","173",20.3,0,15,0,NA
"LSTS","challenged","175",626.3,0,22,0,NA
"LSTS","challenged","176",703,0,25,0,NA
"LSTS","challenged","177",34.4,0,23,0,NA
"LSTS","challenged","178",2092.1,0,24,0,NA
"LSTS","challenged","179",974.3,0,18,0,NA
"LSTS","challenged","180",25.6,0,20,0,NA
"LSTS","challenged","182",432.7,0,14,0,NA
"LSTS","challenged","190",1013,0,19,0,NA
"LSTS","challenged","209",95.4,0,12,0,NA
"BSV","challenged","825",85.7,0,20,0,NA
"BSV","challenged","826",29.4,0,13,0,NA
"BSV","challenged","827",640,0,17,0,NA
"BSV","challenged","828",254.1,0,17,0,NA
"BSV","challenged","833",479.6,0,22,0,NA
"BSV","challenged","834",13.6,0,21,0,NA
"BSV","challenged","835",1270.7,0,26,0,NA
"BSV","challenged","836",24.4,0,7.1,0,NA
"BSV","challenged","837",99.2,0,14.9,0,NA
"BSV","challenged","838",25.6,0,14.9,1,NA
"BSV","challenged","840",33.1,0,21,0,NA
"BSV","challenged","841",57.8,0,7.1,0,NA
"BSV","challenged","842",235.6,0,15,0,NA
"BSV","challenged","843",24.9,0,4,0,NA
"BSV","challenged","844",102.1,0,21,0,NA
"BSV","challenged","845",138.6,0,1,0,NA
"BSV","challenged","851",21.2,0,19,0,NA
"CSP","naiive","E001",20.9,0,5.5,0,NA
"CSP","naiive","E003",27.4,0,14.3,0,NA
"CSP","naiive","E004",16.7,0,10,0,NA
"CSP","naiive","E005",452.3,0,26,0,NA
"CSP","naiive","E006",33.9,0,8.5,0,NA
"CSP","naiive","E008",26.8,0,18,0,NA
"CSP","naiive","E009",10.2,0,26.8,1,NA
"CSP","naiive","E010",26.6,0,23,0,NA
"CSP","naiive","E011",8.9,0,25,1,NA
"CSP","naiive","E012",33.3,0,30.5,1,NA
"CSP","naiive","E015",24.4,0,22,0,NA
"CSP","naiive","E016",10.9,0,22,1,NA
"CSP","naiive","GS0261",93.9,0,17,0,NA
"CSP","naiive","GS0262",38.5,0,14,0,NA
"CSP","naiive","GS0263",14.8,0,23,0,NA
"CSP","naiive","GS0264",61,0,21,1,NA
"CSP","naiive","GS0265",26,0,21.5,0,NA
"CSP","naiive","GS0266",143.2,0,15.5,0,NA
"CSP","naiive","GS0267",14.4,0,20,0,NA
"CSP","naiive","GS0268",20.9,0,20.5,0,NA
"TC","naiive","UNRTC1",9.6,0,18.5,0,NA
"TC","naiive","UNRTC10",15.4,0,18,0,NA
"TC","naiive","UNRTC11",122.3,0,22,0,NA
"TC","naiive","UNRTC12",12.4,0,17,0,NA
"TC","naiive","UNRTC14",781.2,0,28,0,NA
"TC","naiive","UNRTC15",82.6,0,30,0,NA
"TC","naiive","UNRTC16",7.1,0,26.8,1,NA
"TC","naiive","UNRTC17",10.2,0,24,0,NA
"TC","naiive","UNRTC19",19.7,0,24.8,0,NA
"TC","naiive","UNRTC2",11,0,23.3,0,NA
"TC","naiive","UNRTC20",1351.7,0,21,0,NA
"TC","naiive","UNRTC21",95.2,0,25,0,NA
"TC","naiive","UNRTC22",956.9,0,24,0,NA
"TC","naiive","UNRTC23",391.1,0,25,0,NA
"TC","naiive","UNRTC24",248,0,18.5,0,NA
"TC","naiive","UNRTC25",186.5,0,10,0,NA
"TC","naiive","UNRTC26",526.1,0,21.8,0,NA
"TC","naiive","UNRTC27",199.9,0,13.5,0,NA
"TC","naiive","UNRTC28",60.3,0,17.5,0,NA
"TC","naiive","UNRTC29",64.1,0,15,0,NA
"TC","naiive","UNRTC3",11.3,0,15.3,0,NA
"TC","naiive","UNRTC30",372.6,0,8.5,0,NA
"TC","naiive","UNRTC32",201.1,0,14.9,0,NA
"TC","naiive","UNRTC4",18.7,0,20,0,NA
"TC","naiive","UNRTC5",10.3,0,20.8,0,NA
"TC","naiive","UNRTC7",210.6,0,32.5,0,NA
"TC","naiive","UNRTC8",14.5,0,19.5,0,NA
"TC","naiive","UNRTC9",10.8,0,21.3,0,NA
